Ticker,Security ,Currency 
CAN,EH963117 Corp,CAD
ONT,ED829111 Corp,CAD
ONT,EI155501 Corp,CAD
CANHOU,EK976564 Corp,CAD
CANHOU,EK803967 Corp,CAD
CAN,AS594023 Corp,CAD
CAN,EK849926 Corp,CAD
ONT,EC042823 Corp,CAD
CAN,AT982993 Corp,CAD
Q,EI213692 Corp,CAD
Q,ED729409 Corp,CAD
CANHOU,EI379455 Corp,CAD
CANHOU,UV930913 Corp,CAD
CAN,AV570311 Corp,CAD
CAN,QJ201301 Corp,CAD
CAN,135087TZ Corp,CAD
CAN,AX138263 Corp,CAD
CAN,EI324751 Corp,CAD
CAN,135087UE Corp,CAD
ONT,EH141500 Corp,CAD
ONT,EI533409 Corp,CAD
CANHOU,JK453276 Corp,CAD
CANHOU,EI577503 Corp,CAD
CAN,ZS462361 Corp,CAD
CAN,JK727466 Corp,CAD
CAN,ZR031945 Corp,CAD
Q,EI564205 Corp,CAD
CANHOU,QZ578329 Corp,CAD
CANHOU,AL716340 Corp,CAD
CAN,ZQ408444 Corp,CAD
CAN,QZ808593 Corp,CAD
Q,AM637743 Corp,CAD
ONT,QZ285865 Corp,CAD
CANHOU,EI879710 Corp,CAD
CAN,135087UM Corp,CAD
CAN,EI767213 Corp,CAD
ONT,EI867122 Corp,CAD
CANHOU,AM843016 Corp,CAD
ONT,GG713410 Corp,CAD
CAN,AN164546 Corp,CAD
Q,EI893153 Corp,CAD
ONT,EH141472 Corp,CAD
CANHOU,EJ324764 Corp,CAD
Q,TT313894 Corp,CAD
ONT,JV769441 Corp,CAD
Q,AR442366 Corp,CAD
CAN,AP434040 Corp,CAD
Q,GG714530 Corp,CAD
Q,MM131580 Corp,CAD
CAN,135087UT Corp,CAD
CAN,EJ299599 Corp,CAD
ONT,EJ428762 Corp,CAD
CANHOU,AR744121 Corp,CAD
Q,EJ466320 Corp,CAD
CAN,AS089280 Corp,CAD
ONT,AR153367 Corp,CAD
ONT,GG717249 Corp,CAD
ONT,EG873737 Corp,CAD
CANHOU,EJ800534 Corp,CAD
CANHOU,EJ678313 Corp,CAD
CANHOU,AU530640 Corp,CAD
